neuro_author_s,title,journal,doi,pmid,date_not_actual,is_open_access,oa_type,oa_version,url_to_oa_version
Anthony E Lang; Andrew D Siderowf; Eric A Macklin; Werner Poewe; David J Brooks; Hubert H Fernandez; Olivier Rascol; Nir Giladi; Fabrizio Stocchi; Caroline M Tanner; Ronald B Postuma; David K Simon; Eduardo Tolosa; Brit Mollenhauer; Jesse M Cedarbaum; Kyle Fraser; James Xiao; Karleyton C Evans; Danielle L Graham; Inbal Sapir; Jennifer Inra; R Matthew Hutchison; Minhua Yang; Tara Fox; Samantha Budd Haeberlein; Tien Dam,Trial of Cinpanemab in Early Parkinson’s Disease,New England Journal of Medicine,10.1056/NEJMoa2203395,35921450,2022-08-04,False,closed,none,none
Charles-Etienne Castonguay; Calwing Liao; Anouar Khayachi; Yumin Liu; Miranda Medeiros; Gabrielle Houle; Jay P Ross; Patrick A Dion; Guy A Rouleau,Transcriptomic effects of propranolol and primidone converge on molecular pathways relevant to essential tremor,npj Genomic Medicine,10.1038/s41525-022-00318-9,35927430,2022-08-04,True,gold,publishedVersion,https://www.nature.com/articles/s41525-022-00318-9.pdf
Mohamad Bakhaidar; Rakan Bokhari; Jeffery Alan Hall,The Central Sulcus of the Insula: A Highly Reliable Radiographic Landmark for Identification of the Rolandic Sulcus,World Neurosurgery,10.1016/j.wneu.2022.07.110,35940504,2022-08-01,False,closed,none,none
Vincent Francis; Walaa Alshafie; Rahul Kumar; Martine Girard; Bernard Brais; Peter S McPherson,The ARSACS disease protein sacsin controls lysosomal positioning and reformation by regulating microtubule dynamics,Journal of Biological Chemistry,10.1016/j.jbc.2022.102320,35933016,2022-08-01,True,gold,publishedVersion,http://www.jbc.org/article/S0021925822007621/pdf
Jack J Collier,Novel <i>DNM1L</i> variants impair mitochondrial dynamics through divergent mechanisms,Life Science Alliance,10.26508/lsa.202101284,35914810,2022-08-01,True,gold,publishedVersion,https://www.life-science-alliance.org/content/lsa/5/12/e202101284.full.pdf
Ziv Gan-Or,Effect modification between genes and environment[comma] and Parkinson's disease risk,Annals of Neurology,10.1002/ana.26467,35913124,2022-08-01,False,closed,none,none
Golia Shafiei; Sylvain Baillet; Bratislav Misic,Human electromagnetic and haemodynamic networks systematically converge in unimodal cortex and diverge in transmodal cortex,PLOS Biology,10.1371/journal.pbio.3001735,35914002,2022-08-01,True,gold,publishedVersion,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.3001735&type=printable
Boris Bernhardt,Diagnosis-informed connectivity subtyping discovers subgroups of autism with reproducible symptom profiles,NeuroImage,10.1016/j.neuroimage.2022.119212,35430361,2022-08-01,True,gold,publishedVersion,https://doi.org/10.1016/j.neuroimage.2022.119212
Udunna C Anazodo,caliPER: A software for blood-free parametric Patlak mapping using PET/MRI input function,NeuroImage,10.1016/j.neuroimage.2022.119261,35500806,2022-08-01,True,gold,publishedVersion,https://doi.org/10.1016/j.neuroimage.2022.119261
Karina A González Otárula; Yee-Leng Tan; Jeffery A Hall; François Dubeau; Viviane Sziklas; Jean-Paul Soucy; Marie-Christine Guiot; Eliane Kobayashi,Postsurgical seizure outcome in temporal lobe epilepsy patients with normal or subtle[comma] nonspecific MRI findings,Journal of Neurosurgery,10.3171/2021.10.JNS2127,34972090,2022-08-01,False,closed,none,none
Manesh Girn; Boris Bernhardt; R Nathan Spreng,Serotonergic psychedelic drugs LSD and psilocybin reduce the hierarchical differentiation of unimodal and transmodal cortex,NeuroImage,10.1016/j.neuroimage.2022.119220,35483649,2022-08-01,True,gold,publishedVersion,https://doi.org/10.1016/j.neuroimage.2022.119220
Aini Ismafairus Abd Hamid; Alan C Evans; Faruque Reza; Hazim Omar; Jafri Malin Abdullah; Mohd Faizal Mohd Zulkifly; Jorge F Bosch-Bayard,Harmonized-Multinational qEEG norms (HarMNqEEG),NeuroImage,10.1016/j.neuroimage.2022.119190,35398285,2022-08-01,True,gold,publishedVersion,https://doi.org/10.1016/j.neuroimage.2022.119190
Alain Dagher; Matthias Kirschner,Cerebellar and cortico-striatal-midbrain contributions to reward-cognition processes and apathy within the psychosis continuum,Schizophrenia Research,10.1016/j.schres.2022.06.010,35728420,2022-08-01,True,hybrid,publishedVersion,https://doi.org/10.1016/j.schres.2022.06.010
Katie M Lavigne,Normal-range verbal memory in the first-episode of psychosis: Clinical and functional outcomes across 24 months and impact of estimated verbal memory decrement,Schizophrenia Research,10.1016/j.schres.2022.06.007,35728419,2022-08-01,False,closed,none,none
Oualid Benkarim; Casey Paquola; Bo-Yong Park; Jessica Royer; Raúl Rodríguez-Cruces; Reinder Vos de Wael; Bratislav Misic; Boris C Bernhardt,A Riemannian approach to predicting brain function from the structural connectome,NeuroImage,10.1016/j.neuroimage.2022.119299,35636736,2022-08-01,True,gold,publishedVersion,https://doi.org/10.1016/j.neuroimage.2022.119299
Mark D Shen; Meghan R Swanson; Jason J Wolff; Jed T Elison; Jessica B Girault; Sun Hyung Kim; Rachel G Smith; Michael M Graves; Leigh Anne H Weisenfeld; Lisa Flake; Leigh MacIntyre; Julia L Gross; Catherine A Burrows; Vladimir S Fonov; D Louis Collins; Alan C Evans; Guido Gerig; Robert C McKinstry; Juhi Pandey; Tanya St John; Lonnie Zwaigenbaum; Annette M Estes; Stephen R Dager; Robert T Schultz; Martin A Styner; Kelly N Botteron; Heather C Hazlett; Joseph Piven,Subcortical Brain Development in Autism and Fragile X Syndrome: Evidence for Dynamic[comma] Age- and Disorder-Specific Trajectories in Infancy,American Journal of Psychiatry,10.1176/appi.ajp.21090896,35331012,2022-08-01,False,closed,none,none
Houssem-Eddine Gueziri; Miltiadis Georgiopoulos; Carlo Santaguida; D Louis Collins,Ultrasound-based navigated pedicle screw insertion without intraoperative radiation: feasibility study on porcine cadavers,The Spine Journal,10.1016/j.spinee.2022.04.014,35523390,2022-08-01,False,closed,none,none
Vladimir S Fonov; Mahsa Dadar; D Louis Collins,DARQ: Deep learning of quality control for stereotaxic registration of human brain MRI to the T1w MNI-ICBM 152 template,NeuroImage,10.1016/j.neuroimage.2022.119266,35500807,2022-08-01,True,gold,publishedVersion,https://doi.org/10.1016/j.neuroimage.2022.119266
Vanessa Omana,Toward in vivo proof of binding of 18F-labeled inhibitor [18F]TRACK to peripheral tropomyosin receptor kinases,EJNMMI Research,10.1186/s13550-022-00915-w,35907096,2022-07-30,True,gold,publishedVersion,https://ejnmmires.springeropen.com/track/pdf/10.1186/s13550-022-00915-w
Jean-Paul Soucy; Sylvia Villeneuve,Association of Elevated Amyloid and Tau Positron Emission Tomography Signal With Near-Term Development of Alzheimer Disease Symptoms in Older Adults Without Cognitive Impairment,JAMA Neurology,10.1001/jamaneurol.2022.2379,35907254,2022-07-30,False,closed,none,none
Giovanni Pellegrino; Eliane Kobayashi,Stimulation with acoustic white noise enhances motor excitability and sensorimotor integration,Scientific Reports,10.1038/s41598-022-17055-9,35907889,2022-07-30,True,gold,publishedVersion,https://www.nature.com/articles/s41598-022-17055-9.pdf
Konstantin Senkevich,methoidNeurofilament light levels predict clinical progression and death in multiple system atrophy,Brain,10.1093/brain/awac253,35903017,2022-07-29,False,closed,none,none
John D Lewis,Effect of number of diffusion encoding directions in Diffusion Metrics of 5‐year‐olds using Tract‐Based Spatial Statistical analysis,European Journal of Neuroscience,10.1111/ejn.15785,35904522,2022-07-29,False,closed,none,none
Afiqah Yusuf; Mandy Steiman; Miriam Gonzalez; Mayada Elsabbagh,Factors associated with resilience among children and youths with disability during the COVID-19 pandemic,PLOS ONE,10.1371/journal.pone.0271229,35905110,2022-07-29,True,gold,publishedVersion,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0271229&type=printable
Danilo Bzdok,A parsimonious description of global functional brain organization in three spatiotemporal patterns,Nature Neuroscience,10.1038/s41593-022-01118-1,35902649,2022-07-28,False,closed,none,none
Ian J Tagge; Ilana R Leppert; Dumitru Fetco; Jennifer Sw Campbell; David A Rudko; Robert A Brown; Paul S Giacomini; Douglas L Arnold; Sridar Narayanan,Permanent tissue damage in multiple sclerosis lesions is associated with reduced pre-lesion myelin and axon volume fractions,Multiple Sclerosis Journal,10.1177/13524585221110585,35903888,2022-07-28,False,closed,none,none
Andrea Soumbasis; Mohamed A Eldeeb,A molecular dialogue between local translation and mitochondria: powering mitophagy in axons,Molecular Biology Reports,10.1007/s11033-022-07708-3,35902447,2022-07-28,False,closed,none,none
Mari J Aaltonen; Eric A Shoubridge,SPTLC1 variants associated with ALS produce distinct sphingolipid signatures through impaired interaction with ORMDL proteins,Journal of Clinical Investigation,10.1172/JCI161908,35900868,2022-07-28,True,gold,publishedVersion,http://www.jci.org/articles/view/161908/files/pdf
Uku Vainik; Alan Evans; Budhachandra Khundrakpam,Educational attainment polygenic scores[comma] socioeconomic factors[comma] and cortical structure in children and adolescents,Human Brain Mapping,10.1002/hbm.26034,35894163,2022-07-27,True,gold,publishedVersion,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hbm.26034
Jason Karamchandani; Erin O'Ferrall,Capillary pathology with prominent basement membrane reduplication is the hallmark histopathological feature of scleromyositis,Neuropathology and Applied Neurobiology,10.1111/nan.12840,35894636,2022-07-27,False,closed,none,none
Sara Larivière; Jessica Royer; Raúl Rodríguez-Cruces; Andrea Bernasconi; Neda Bernasconi; Boris C Bernhardt,Structural network alterations in focal and generalized epilepsy assessed in a worldwide ENIGMA study follow axes of epilepsy risk gene expression,Nature Communications,10.1038/s41467-022-31730-5,35896547,2022-07-27,True,gold,publishedVersion,https://www.nature.com/articles/s41467-022-31730-5.pdf
Mayada Elsabbagh,Developmental cascades between insistence on sameness behaviour and anxiety symptoms in autism spectrum disorder,European Child &amp; Adolescent Psychiatry,10.1007/s00787-022-02049-9,35871413,2022-07-24,False,closed,none,none
Maria Zimmermann; Marie-Christine Guiot; Jeffery A Hall; Jean-Paul Soucy; Pedro Rosa-Neto; Eliane Kobayashi,Reduced Metabotropic Glutamate Receptor Type 5 Availability in the Epileptogenic Hippocampus: An in vitro Study,Frontiers in Neurology,10.3389/fneur.2022.888479,35937057,2022-07-22,True,gold,publishedVersion,https://www.frontiersin.org/articles/10.3389/fneur.2022.888479/pdf
Véronique Latreille; Katharina Schiller; Laure Peter-Derex; Birgit Frauscher,Does epileptic activity impair sleep-related memory consolidation in epilepsy? A critical and systematic review,Journal of Clinical Sleep Medicine,10.5664/jcsm.10166,35866226,2022-07-22,False,closed,none,none
Kristiana Salmon; Jay P Ross; Vanessa Bertone; Maria Gobbo; Jason Karamchandani; Patrick A Dion; Guy A Rouleau; Angela Genge,The value of testing for ATXN2 intermediate repeat expansions in routine clinical practice for amyotrophic lateral sclerosis,European Journal of Human Genetics,10.1038/s41431-022-01146-2,35864146,2022-07-21,True,hybrid,publishedVersion,https://www.nature.com/articles/s41431-022-01146-2.pdf
Alex I Wiesman,Convergent and divergent oscillatory aberrations during visuospatial processing in HIV-related cognitive impairment and Alzheimer’s disease,Cerebral Cortex,10.1093/cercor/bhac268,35855581,2022-07-19,False,closed,none,none
Tharick A Pascoal; Mira Chamoun; Monica Shin; Kok Pin Ng; Min Su Kang; Sulantha Mathotaarachchi; Andrea L Benedet; Joseph Therriault; Firoza Z Lussier; Robert Hopewell; Melissa Savard; Emilie Thomas; Sara Mohaddes; Jean-Paul Soucy; Gassan Massarweh; Eliane Kobayashi; Marie-Christine Guiot; Serge Gauthier; Pedro Rosa-Neto,[11C]Martinostat PET analysis reveals reduced HDAC I availability in Alzheimer’s disease,Nature Communications,10.1038/s41467-022-30653-5,35853847,2022-07-19,True,gold,publishedVersion,https://www.nature.com/articles/s41467-022-30653-5.pdf
Mina Motasaddizarandy,Silastic Electrode Positioner Extrusion as a Late Complication of Cochlear Implantation Surgery,The Journal of International Advanced Otology,10.5152/iao.2022.21391,35894535,2022-07-19,False,closed,none,none
Ziv Gan-Or,17q21.31 sub-haplotypes underlying H1-associated risk for Parkinson’s disease are associated with LRRC37A/2 expression in astrocytes,Molecular Neurodegeneration,10.1186/s13024-022-00551-x,35841044,2022-07-15,True,gold,publishedVersion,https://molecularneurodegeneration.biomedcentral.com/track/pdf/10.1186/s13024-022-00551-x
Satoru Ikemoto; Nicolás von Ellenrieder; Jean Gotman,<scp>EEG‐fMRI</scp> of epileptiform discharges: non‐invasive investigation of the whole brain,Epilepsia,10.1111/epi.17364,35822919,2022-07-13,False,closed,none,none
Jay P Ross; Fulya Akçimen; Calwing Liao; Dan Spiegelman; Ben Weisburd; Nicolas Dupré; Patrick A Dion; Guy A Rouleau; Sali M K Farhan,Questioning the Association of the <i>STMN2</i> Dinucleotide Repeat With Amyotrophic Lateral Sclerosis,Neurology Genetics,10.1212/NXG.0000000000000678,35923349,2022-07-13,True,gold,publishedVersion,https://ng.neurology.org/content/nng/8/4/e678.full.pdf
Guy A Rouleau,Correction: Combining schizophrenia and depression polygenic risk scores improves the genetic prediction of lithium response in bipolar disorder patients,Translational Psychiatry,10.1038/s41398-022-02037-2,35817769,2022-07-11,True,gold,publishedVersion,https://www.nature.com/articles/s41398-022-02037-2.pdf
Wayne Sossin,The evolution of synaptic and cognitive capacity: Insights from the nervous system transcriptome of <i>Aplysia</i>,Proceedings of the National Academy of Sciences,10.1073/pnas.2122301119,35867761,2022-07-08,False,closed,none,none
Danilo Bzdok,Association of Stroke Lesion Pattern and White Matter Hyperintensity Burden With Stroke Severity and Outcome,Neurology,10.1212/WNL.0000000000200926,35803717,2022-07-08,False,closed,none,none
Bernard Brais,An Exploratory Survey on the Care for Ataxic Patients in the American Continents and the Caribbean,The Cerebellum,10.1007/s12311-022-01442-z,35796998,2022-07-07,False,closed,none,none
Alan C Evans; Lesley K Fellows; R Nathan Spreng; Georg Northoff; Danilo Bzdok,From Precision Medicine to Precision Convergence for Multilevel Resilience—The Aging Brain and Its Social Isolation,Frontiers in Public Health,10.3389/fpubh.2022.720117,35865245,2022-07-05,True,gold,publishedVersion,https://www.frontiersin.org/articles/10.3389/fpubh.2022.720117/pdf
Jennifer Novek; Trisanna Sprung-Much; Erika Nolan; Michael Petrides,Optimal blocking of the cerebral cortex for cytoarchitectonic examination: a neuronavigation-based approach,Cerebral Cortex,10.1093/cercor/bhac236,35780434,2022-07-03,False,closed,none,none
Thomas Goiran; Mohamed A Eldeeb; Cornelia E Zorca; Edward A Fon,Hallmarks and Molecular Tools for the Study of Mitophagy in Parkinson’s Disease,Cells,10.3390/cells11132097,35805181,2022-07-02,True,gold,publishedVersion,https://www.mdpi.com/2073-4409/11/13/2097/pdf?version=1656753745
Bo-Yong Park; Casey Paquola; Oualid Benkarim; Bratislav Mišić; Boris C Bernhardt,Adolescent development of multiscale structural wiring and functional interactions in the human connectome,Proceedings of the National Academy of Sciences,10.1073/pnas.2116673119,35776541,2022-07-01,False,closed,none,none
Guy Rouleau,Brain health for all on World Brain Day 2022,The Lancet Neurology,10.1016/S1474-4422(22)00295-2,35878622,2022-07-01,True,bronze,publishedVersion,http://www.thelancet.com/article/S1474442222002952/pdf
Maryam Oskoui,Emerging therapies for Duchenne muscular dystrophy,The Lancet Neurology,10.1016/S1474-4422(22)00125-9,35850122,2022-07-01,False,closed,none,none
Amir Shmuel,Evidence suggesting common mechanisms underlie contralateral and ipsilateral negative BOLD responses in human visual cortex,NeuroImage,10.1016/j.neuroimage.2022.119440,35842097,2022-07-01,True,gold,publishedVersion,https://doi.org/10.1016/j.neuroimage.2022.119440
Alan Evans; Boris Bernhardt,Closing the mechanistic gap: the value of microarchitecture in understanding cognitive networks,Trends in Cognitive Sciences,10.1016/j.tics.2022.07.001,35909021,2022-07-01,True,hybrid,publishedVersion,http://www.cell.com/article/S1364661322001589/pdf
Katharina Schiller; Tamir Avigdor; Chifaou Abdallah; Viviane Sziklas; Joelle Crane; Birgit Frauscher,Focal epilepsy disrupts spindle structure and function,Scientific Reports,10.1038/s41598-022-15147-0,35778434,2022-07-01,True,gold,publishedVersion,https://www.nature.com/articles/s41598-022-15147-0.pdf
Jorge Bosch-Bayard; Arielle G Rabinowitz; Alan C Evans; Pedro A Valdes-Sosa,Early protein energy malnutrition impacts life-long developmental trajectories of the sources of EEG rhythmic activity,NeuroImage,10.1016/j.neuroimage.2022.119144,35342003,2022-07-01,True,gold,publishedVersion,https://doi.org/10.1016/j.neuroimage.2022.119144
Douglas L Arnold,Comparison of switching to 6-week dosing of natalizumab versus continuing with 4-week dosing in patients with relapsing-remitting multiple sclerosis (NOVA): a randomised[comma] controlled[comma] open-label[comma] phase 3b trial,The Lancet Neurology,10.1016/S1474-4422(22)00143-0,35483387,2022-07-01,False,closed,none,none
Tariq Al-Saadi,Letter to the Editor: “Selection of Neurosurgical Applicants in High-Income Developing Countries: A Pilot Study from the Gulf Cooperation Council Countries”,World Neurosurgery,10.1016/j.wneu.2022.04.069,35729808,2022-07-01,True,bronze,publishedVersion,https://doi.org/10.1016/j.wneu.2022.04.069
Tariq Al-Saadi,Predicting Patients at Risk for Prolonged Hospital Stays Following Pediatrics Traumatic Head Injuries in High Income Developing Country: A retrospective Cohort Study,World Neurosurgery,10.1016/j.wneu.2022.07.004,35817350,2022-07-01,False,closed,none,none
Armin Bayati; Emily Banks; Chanshuai Han; Wen Luo; Wolfgang E Reintsch; Cornelia E Zorca; Irina Shlaifer; Esther Del Cid Pellitero; Heidi M McBride; Edward A Fon; Thomas M Durcan; Peter S McPherson,Rapid macropinocytic transfer of α-synuclein to lysosomes,Cell Reports,10.1016/j.celrep.2022.111102,35858558,2022-07-01,True,gold,publishedVersion,http://www.cell.com/article/S2211124722009044/pdf
Tariq Al-Saadi,Anti-Epileptic Drugs in Geriatric Neurosurgery: A Review of 669 Neurosurgical Cases,Journal of Epilepsy Research,10.14581/jer.22005,35910329,2022-06-30,True,gold,publishedVersion,https://www.j-epilepsy.org/upload/jer-22005.pdf
Michael Shevell; Maryam Oskoui,Anti-Epileptic Drugs in Geriatric Neurosurgery: A Review of 669 Neurosurgical Cases,Journal of Epilepsy Research,10.1001/jamanetworkopen.2022.19203,35767262,2022-06-30,DOI not found by Unpaywall., , , 
Jean Gotman; Nicolás von Ellenrieder; Birgit Frauscher,Anti-Epileptic Drugs in Geriatric Neurosurgery: A Review of 669 Neurosurgical Cases,Journal of Epilepsy Research,10.1093/braincomms/fcac151,35770134,2022-06-30,DOI not found by Unpaywall., , , 
Jorge Bosch-Bayard; Pedro A Valdes-Sosa,The Effect of Neuroepo on Cognition in Parkinson’s Disease Patients Is Mediated by Electroencephalogram Source Activity,Frontiers in Neuroscience,10.3389/fnins.2022.841428,35844232,2022-06-30,True,gold,publishedVersion,https://www.frontiersin.org/articles/10.3389/fnins.2022.841428/pdf
Maryam Oskoui,Prevalence and temporal trends of cerebral palsy in children born from 2002 to 2017 in Ontario[comma] Canada: Population‐based cohort study,Developmental Medicine &amp; Child Neurology,10.1111/dmcn.15324,35771681,2022-06-30,False,closed,none,none
Douglas L Arnold,Long-term safety and efficacy of ozanimod in relapsing multiple sclerosis: Up to 5 years of follow-up in the DAYBREAK open-label extension trial,Multiple Sclerosis Journal,10.1177/13524585221102584,35765217,2022-06-28,True,hybrid,publishedVersion,https://journals.sagepub.com/doi/pdf/10.1177/13524585221102584
Philippe Huot,Evaluation of the effects of the mGlu2/3 antagonist LY341495 on dyskinesia and psychosis-like behaviours in the MPTP-lesioned marmoset,Pharmacological Reports,10.1007/s43440-022-00378-9,35761013,2022-06-27,False,closed,none,none
Jorge Bosch-Bayard,Relation of Brain Perfusion Patterns to Sudden Unexpected Death Risk Stratification: A Study in Drug Resistant Focal Epilepsy,Behavioral Sciences,10.3390/bs12070207,35877277,2022-06-24,True,gold,publishedVersion,https://www.mdpi.com/2076-328X/12/7/207/pdf?version=1657173910
Moein Yaqubi; Julia Xiao Xuan Luo; Salma Baig; Qiao-Ling Cui; Kevin Petrecca; Elia Afanasiev; Jeffery A Hall; Miltiadis Georgiopoulos; Joshua A Sonnen; Luke M Healy; Jo Anne Stratton; Timothy E Kennedy; Jack P Antel,Regional and age‐related diversity of human mature oligodendrocytes,Glia,10.1002/glia.24230,35735919,2022-06-23,False,closed,none,none
Alex I Wiesman,Signatures of somatosensory cortical dysfunction in Alzheimer’s disease and HIV-associated neurocognitive disorder,Brain Communications,10.1093/braincomms/fcac169,35813878,2022-06-23,True,gold,publishedVersion,https://academic.oup.com/braincomms/advance-article-pdf/doi/10.1093/braincomms/fcac169/44226037/fcac169.pdf
Latifa Lazzouni; Julien Doyon,Sigma oscillations protect or reinstate motor memory depending on their temporal coordination with slow waves,eLife,10.7554/eLife.73930,35726850,2022-06-21,True,gold,publishedVersion,https://doi.org/10.7554/elife.73930
Angela Genge,Analysis of the US Safety Data for Edaravone (Radicava®) From the Third Year After Launch,Drugs in R&amp;D,10.1007/s40268-022-00391-6,35723868,2022-06-20,True,gold,publishedVersion,https://link.springer.com/content/pdf/10.1007/s40268-022-00391-6.pdf
John D Lewis; Vladimir S Fonov; D Louis Collins,Allometry in the corpus callosum in neonates: Sexual dimorphism,Human Brain Mapping,10.1002/hbm.25977,35722945,2022-06-20,True,gold,publishedVersion,https://doi.org/10.1002/hbm.25977
Armin Bayati; Peter S McPherson,Host Kinase CSNK2 is a Target for Inhibition of Pathogenic SARS-like β-Coronaviruses,ACS Chemical Biology,10.1021/acschembio.2c00378,35723434,2022-06-19,True,green,publishedVersion,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9236220
Etienne St-Onge; D Louis Collins,Fast Streamline Search: An Exact Technique for Diffusion MRI Tractography,Neuroinformatics,10.1007/s12021-022-09590-7,35716314,2022-06-18,True,hybrid,publishedVersion,https://link.springer.com/content/pdf/10.1007/s12021-022-09590-7.pdf
Hugh J McMillan,Onasemnogene abeparvovec for presymptomatic infants with two copies of SMN2 at risk for spinal muscular atrophy type 1: the Phase III SPR1NT trial,Nature Medicine,10.1038/s41591-022-01866-4,35715566,2022-06-17,True,hybrid,publishedVersion,https://www.nature.com/articles/s41591-022-01866-4.pdf
Raymundo Cassani,Modulation Spectral Signal Representation for Quality Measurement and Enhancement of Wearable Device Data: A Technical Note,Sensors,10.3390/s22124579,35746361,2022-06-17,True,gold,publishedVersion,https://www.mdpi.com/1424-8220/22/12/4579/pdf?version=1655458157
Hugh J McMillan,Onasemnogene abeparvovec for presymptomatic infants with three copies of SMN2 at risk for spinal muscular atrophy: the Phase III SPR1NT trial,Nature Medicine,10.1038/s41591-022-01867-3,35715567,2022-06-17,True,hybrid,publishedVersion,https://www.nature.com/articles/s41591-022-01867-3.pdf
Andrea Bernasconi; Neda Bernasconi,The Role of MRI in the Treatment of Drug-Resistant Focal Epilepsy,European Neurology,10.1159/000525262,35705017,2022-06-15,True,hybrid,publishedVersion,https://www.karger.com/Article/Pdf/525262
Mohamed A Eldeeb,The Role of PTEN-L in Modulating PINK1-Parkin-Mediated Mitophagy,Neurotoxicity Research,10.1007/s12640-022-00475-w,35699891,2022-06-14,False,closed,none,none
Woojin Kang; Dominique Bédard; Philippe Huot,Quantitative determination of LY‐404[comma]039[comma] a metabotropic glutamate 2/3 receptor agonist[comma] in rat plasma using chemical derivatization and HPLC‐MRM/MS,Biomedical Chromatography,10.1002/bmc.5423,35684931,2022-06-09,False,closed,none,none
Fulya Akçimen; Patrick A Dion; Guy A Rouleau,Progress in the genetics of RLS: the path ahead in the era of WGS,Sleep,10.1093/sleep/zsac136,35675840,2022-06-08,True,hybrid,publishedVersion,https://academic.oup.com/sleep/advance-article-pdf/doi/10.1093/sleep/zsac136/44160933/zsac136.pdf
Jason Karamchandani; Rami Massie; Colin H Chalk; Erin O'Ferrall,Novel homozygous nonsense mutation of MLIP and compensatory alternative splicing,npj Genomic Medicine,10.1038/s41525-022-00307-y,35672413,2022-06-07,True,gold,publishedVersion,https://www.nature.com/articles/s41525-022-00307-y.pdf
Étienne de Villers-Sidani,Developmental Exposure to Bisphenol a Degrades Auditory Cortical Processing in Rats,Neuroscience Bulletin,10.1007/s12264-022-00891-0,35670954,2022-06-07,False,closed,none,none
Douglas L Arnold,Ocrelizumab reduces thalamic volume loss in patients with RMS and PPMS,Multiple Sclerosis Journal,10.1177/13524585221097561,35672926,2022-06-07,True,hybrid,publishedVersion,https://journals.sagepub.com/doi/pdf/10.1177/13524585221097561
Danilo Bzdok,Interacting brains revisited: A cross‐brain network neuroscience perspective,Human Brain Mapping,10.1002/hbm.25966,35661477,2022-06-06,True,green,submittedVersion,https://doi.org/10.1101/2021.02.20.432051
