Authors,Title,DOI,Publication Date,Is Open Access?,Type of OA,OA Version,Link to OA version
 ,Unbiased proteomic analysis detects painful systemic inflammatory profile in the serum of nerve injured mice.,10.1097/j.pain.0000000000002695,2022-05-20,True,hybrid,publishedVersion,https://journals.lww.com/pain/Abstract/9900/Unbiased_proteomic_analysis_detects_painful.102.aspx
 ,Glutamate modulation for the treatment of levodopa induced dyskinesia: a brief review of the drugs tested in the clinic.,10.2217/nmt-2021-0055,2022-05-20,False,closed,none,none
 ,Cutting the Gordian Knot of a Mitochondrial Disease.,10.1016/j.medj.2020.12.015,2021-01-15,True,bronze,publishedVersion,http://www.cell.com/article/S2666634020300817/pdf
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
