neuro_author_s,title,journal,doi,pmid,date_not_actual,is_open_access,oa_type,oa_version,url_to_oa_version
Matthew R Krause; Pedro G Vieira; Christopher C Pack,Brain stimulation competes with ongoing oscillations for control of spike timing in the primate brain.,PLoS biology,10.1371/journal.pbio.3001650,35613140,2022-05-26,True,gold,publishedVersion,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.3001650&type=printable
Alexander Thiel,Intensity matters: protocol for a randomized controlled trial exercise intervention for individuals with chronic stroke.,Trials,10.1186/s13063-022-06359-w,35610659,2022-05-25,True,gold,publishedVersion,https://trialsjournal.biomedcentral.com/track/pdf/10.1186/s13063-022-06359-w
Elizabeth Levitis; Jacob W Vogel; Thomas Funck; Yasser Iturria-Medina; Alan C Evans,Differentiating amyloid beta spread in autosomal dominant and sporadic Alzheimer's disease.,Brain communications,10.1093/braincomms/fcac085,35602652,2022-05-24,True,gold,publishedVersion,https://academic.oup.com/braincomms/article-pdf/4/3/fcac085/43752424/fcac085.pdf
Andrea Soumbasis; Mohamed A Eldeeb; Cornelia E Zorca,DEPhosphorylation TArgeting Chimaera (DEPTAC): Targeting Tau Proteins in Tauopathies.,Current protein & peptide science,10.2174/1389203723666220519154229,35598241,2022-05-23,False,closed,none,none
Yezhou Wang; Jessica Royer; Bo-Yong Park; Reinder Vos de Wael; Sara Larivière; Shahin Tavakol; Raul Rodriguez-Cruces; Casey Paquola; Alan C Evans; Boris C Bernhardt,Long-range functional connections mirror and link microarchitectural and cognitive hierarchies in the human brain.,Cerebral cortex (New York[comma] N.Y. : 1991),10.1093/cercor/bhac172,35596951,2022-05-22,False,closed,none,none
Shady Rahayel; Christina Tremblay; Andrew Vo; Bratislav Misic; Alain Dagher,Brain atrophy in prodromal synucleinopathy is shaped by structural connectivity and gene expression.,Brain : a journal of neurology,10.1093/brain/awac187,35594873,2022-05-21,True,green,submittedVersion,https://doi.org/10.1101/2021.12.27.21268442
Bratislav Misic; Katie M Lavigne,Sex-specific associations in verbal memory brain circuitry in early psychosis.,Journal of psychiatric research,10.1016/j.jpsychires.2022.05.006,35594601,2022-05-21,False,closed,none,none
Cynthia Kwan; Philippe Huot,An overview of the active clinical trials for Parkinson's disease psychosis.,Neurodegenerative disease management,10.2217/nmt-2022-0020,35592949,2022-05-21,False,closed,none,none
Ji Zhang,Unbiased proteomic analysis detects painful systemic inflammatory profile in the serum of nerve injured mice.,Pain,10.1097/j.pain.0000000000002695,35587992,2022-05-20,True,hybrid,publishedVersion,https://journals.lww.com/pain/Abstract/9900/Unbiased_proteomic_analysis_detects_painful.102.aspx
Imane Frouni; Philippe Huot,Glutamate modulation for the treatment of levodopa induced dyskinesia: a brief review of the drugs tested in the clinic.,Neurodegenerative disease management,10.2217/nmt-2021-0055,35587024,2022-05-20,False,closed,none,none
Pedro Rosa-Neto,Blood phospho-tau in Alzheimer disease: analysis[comma] interpretation[comma] and clinical utility.,Nature reviews. Neurology,10.1038/s41582-022-00665-2,35585226,2022-05-19,False,closed,none,none
Alain Dagher; Danilo Bzdok,Human brain anatomy reflects separable genetic and environmental components of socioeconomic status.,Science advances,10.1126/sciadv.abm2923,35584223,2022-05-19,True,green,publishedVersion,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9116589
Giulia Fadda; Douglas L Arnold,Serum MOG-IgG in children meeting multiple sclerosis diagnostic criteria.,Multiple sclerosis (Houndmills[comma] Basingstoke[comma] England),10.1177/13524585221093789,35581944,2022-05-19,True,hybrid,publishedVersion,https://journals.sagepub.com/doi/pdf/10.1177/13524585221093789
Guido I Guberman; Alain Ptito; Danilo Bzdok,Multi-tract multi-symptom relationships in pediatric concussion.,eLife,10.7554/eLife.70450,35579325,2022-05-18,True,gold,publishedVersion,https://doi.org/10.7554/elife.70450
Gaston Baslet; Selma Aybek; Simon Ducharme; Mandana Modirrousta; Timothy R Nicholson,Neuropsychiatry's Role in the Postacute Sequelae of COVID-19: Report From the American Neuropsychiatric Association Committee on Research.,The Journal of neuropsychiatry and clinical neurosciences,10.1176/appi.neuropsych.21080209,35578802,2022-05-18,False,closed,none,none
Virginie Petel Légaré; Christian J Rampal; Tyler J N Gurberg; Ziyaan A Harji; Xavier Allard-Chamard; Esteban C Rodríguez; Gary A B Armstrong,Development of an endogenously myc-tagged TARDBP (TDP-43) zebrafish model using the CRISPR/Cas9 system and homology directed repair.,Comparative biochemistry and physiology. Part B[comma] Biochemistry & molecular biology,10.1016/j.cbpb.2022.110756,35580804,2022-05-18,False,closed,none,none
Danilo Bzdok,Meta-matching as a simple framework to translate phenotypic predictive models from big to small data.,Nature neuroscience,10.1038/s41593-022-01059-9,35578132,2022-05-17,False,closed,none,none
Jean-Baptiste Poline,Recommendations for repositories and scientific gateways from a neuroscience perspective.,Scientific data,10.1038/s41597-022-01334-1,35577825,2022-05-17,True,gold,publishedVersion,https://www.nature.com/articles/s41597-022-01334-1.pdf
Mayada Elsabbagh; Afiqah Yusuf; Jinan Zeidan; Julie Scorah,The time has come for living systematic reviews in autism research.,Autism research : official journal of the International Society for Autism Research,10.1002/aur.2739,35570413,2022-05-17,False,closed,none,none
Dan Spiegelman; Guy Rouleau,The Genetic and Molecular Analyses of ,Cancers,10.3390/cancers14092251,35565380,2022-05-15,True,gold,publishedVersion,https://www.mdpi.com/2072-6694/14/9/2251/pdf?version=1652235679
Carolina Makowski,Altered amygdala shape trajectories and emotion recognition in youth at familial high risk of schizophrenia who develop psychosis.,Translational psychiatry,10.1038/s41398-022-01957-3,35562339,2022-05-14,True,gold,publishedVersion,https://www.nature.com/articles/s41398-022-01957-3.pdf
Mahdieh Tabatabaei; Marie-Noëlle Boivin; Lydiane Gaborieau; Jason Karamchandani; Edward A Fon,Generation of homozygous PRKN[comma] PINK1 and double PINK1/PRKN knockout cell lines from healthy induced pluripotent stem cells using CRISPR/Cas9 editing.,Stem cell research,10.1016/j.scr.2022.102806,35561458,2022-05-14,True,gold,publishedVersion,https://doi.org/10.1016/j.scr.2022.102806
Seok-Jun Hong; Bo-Yong Park; Oualid Benkarim; Sofie L Valk; Casey Paquola; Sara Larivière; Reinder Vos de Wael; Janie Degré-Pelletier; Boris C Bernhardt,A convergent structure-function substrate of cognitive imbalances in autism.,Cerebral cortex (New York[comma] N.Y. : 1991),10.1093/cercor/bhac156,35552620,2022-05-14,False,closed,none,none
Shanna Kousaie; Denise Klein,Age of Acquisition Modulates Alpha Power During Bilingual Speech Comprehension in Noise.,Frontiers in psychology,10.3389/fpsyg.2022.865857,35548507,2022-05-14,True,gold,publishedVersion,https://www.frontiersin.org/articles/10.3389/fpsyg.2022.865857/pdf
Jean-Francois Cloutier,Transsynaptic cerebellin 4-neogenin 1 signaling mediates LTP in the mouse dentate gyrus.,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.2123421119,35544694,2022-05-12,False,closed,none,none
Alain Ptito,CARE frailty e-health scale: Association with incident adverse health outcomes and comparison with the Cardiovascular Health Study frailty scale in the NuAge cohort.,Maturitas,10.1016/j.maturitas.2022.04.006,35537241,2022-05-11,DOI not found by Unpaywall., , , 
Casey Paquola; Bo-Yong Park; Reinder Vos de Wael; Jessica Royer; Boris C Bernhardt,Genetic and phylogenetic uncoupling of structure and function in human transmodal cortex.,Nature communications,10.1038/s41467-022-29886-1,35534454,2022-05-10,True,gold,publishedVersion,https://www.nature.com/articles/s41467-022-29886-1.pdf
